idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0245,"(155, 138)","(151, 132)","(151, 132)",True
0247,"(197, 183)","(191, 177)","(191, 177)",True
0248,"(86, 64)","(84, 61)","(84, 61)",True
0249,"(120, 91)","(116, 87)","(116, 87)",True
0250,"(99, 114)","(95, 111)","(95, 111)",True
0251,"(94, 80)","(91, 77)","(91, 77)",True
0252,"(128, 132)","(123, 127)","(123, 127)",True
0253,"(95, 108)","(91, 104)","(91, 104)",True
0254,"(122, 151)","(118, 148)","(118, 148)",True
0255,"(129, 125)","(125, 121)","(125, 121)",True
0257,"(125, 115)","(121, 111)","(121, 111)",True
0258,"(62, 81)","(59, 78)","(59, 78)",True
0259,"(85, 244)","(78, 241)","(78, 241)",True
0260,"(108, 153)","(104, 149)","(104, 149)",True
0261,"(61, 69)","(59, 67)","(59, 67)",True
0262,"(128, 93)","(124, 89)","(124, 89)",True
0263,"(85, 108)","(80, 105)","(80, 105)",True
0264,"(116, 150)","(111, 146)","(111, 146)",True
0265,"(75, 122)","(71, 119)","(71, 119)",True
0266,"(102, 110)","(99, 106)","(99, 106)",True
0267,"(88, 97)","(84, 93)","(84, 93)",True
0268,"(152, 139)","(146, 135)","(146, 135)",True
0269,"(109, 142)","(104, 137)","(104, 137)",True
0270,"(69, 101)","(65, 98)","(65, 98)",True
0271,"(79, 95)","(75, 92)","(75, 92)",True
0272,"(117, 173)","(111, 169)","(111, 169)",True
0273,"(89, 88)","(86, 84)","(86, 84)",True
0274,"(78, 91)","(75, 87)","(75, 87)",True
0275,"(82, 152)","(77, 148)","(77, 148)",True
0276,"(111, 107)","(107, 103)","(107, 103)",True
0277,"(71, 72)","(67, 69)","(67, 69)",True
0278,"(148, 149)","(143, 143)","(143, 143)",True
0279,"(82, 55)","(80, 52)","(80, 52)",True
0280,"(159, 222)","(152, 217)","(152, 217)",True
0281,"(107, 119)","(102, 115)","(102, 115)",True
0282,"(76, 62)","(73, 58)","(73, 58)",True
0283,"(108, 119)","(103, 115)","(103, 115)",True
0285,"(114, 114)","(109, 109)","(109, 109)",True
0286,"(296, 186)","(289, 177)","(289, 177)",True
0287,"(146, 200)","(139, 194)","(139, 194)",True
0288,"(254, 124)","(250, 115)","(250, 115)",True
0289,"(142, 124)","(137, 119)","(137, 119)",True
0290,"(87, 98)","(83, 94)","(83, 94)",True
0291,"(115, 141)","(110, 136)","(110, 136)",True
0292,"(121, 107)","(116, 102)","(116, 102)",True
0293,"(172, 321)","(162, 316)","(162, 316)",True
0294,"(205, 332)","(193, 325)","(193, 325)",True
0295,"(209, 291)","(199, 284)","(199, 284)",True
0296,"(98, 121)","(93, 117)","(93, 117)",True
0297,"(110, 173)","(104, 168)","(104, 168)",True
0298,"(140, 114)","(135, 109)","(135, 109)",True
0299,"(104, 104)","(100, 99)","(100, 99)",True
0300,"(77, 76)","(74, 73)","(74, 73)",True
0301,"(129, 88)","(125, 84)","(125, 84)",True
0302,"(120, 125)","(116, 121)","(116, 121)",True
0303,"(190, 179)","(184, 173)","(184, 173)",True
0304,"(125, 127)","(120, 123)","(120, 123)",True
0305,"(72, 73)","(69, 70)","(69, 70)",True
0306,"(78, 80)","(75, 76)","(75, 76)",True
0307,"(90, 67)","(87, 64)","(87, 64)",True
0308,"(57, 58)","(53, 55)","(53, 55)",True
0309,"(110, 143)","(106, 140)","(106, 140)",True
0310,"(100, 139)","(96, 135)","(96, 135)",True
0311,"(89, 121)","(85, 118)","(85, 118)",True
0312,"(129, 153)","(124, 149)","(124, 149)",True
0313,"(94, 126)","(89, 122)","(89, 122)",True
0314,"(117, 94)","(113, 90)","(113, 90)",True
0315,"(80, 93)","(77, 90)","(77, 90)",True
0316,"(113, 118)","(109, 113)","(109, 113)",True
0317,"(92, 128)","(87, 125)","(87, 125)",True
0318,"(143, 100)","(138, 94)","(138, 94)",True
0319,"(68, 82)","(64, 79)","(64, 79)",True
0320,"(72, 76)","(68, 72)","(68, 72)",True
