idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0000,"(95, 84)","(92, 81)","(92, 81)",True
0001,"(87, 137)","(83, 134)","(83, 134)",True
0002,"(56, 52)","(53, 49)","(53, 49)",True
0003,"(74, 76)","(72, 73)","(72, 73)",True
0004,"(140, 137)","(136, 133)","(136, 133)",True
0005,"(77, 127)","(72, 124)","(72, 124)",True
0006,"(109, 118)","(105, 114)","(105, 114)",True
0007,"(84, 107)","(81, 104)","(81, 104)",True
0008,"(69, 59)","(67, 56)","(67, 56)",True
0009,"(71, 67)","(68, 64)","(68, 64)",True
0010,"(66, 60)","(63, 57)","(63, 57)",True
0011,"(95, 67)","(92, 64)","(92, 64)",True
0012,"(92, 89)","(89, 85)","(89, 85)",True
0013,"(103, 117)","(99, 114)","(99, 114)",True
0014,"(128, 125)","(124, 121)","(124, 121)",True
0015,"(87, 117)","(83, 114)","(83, 114)",True
0016,"(98, 108)","(95, 105)","(95, 105)",True
0017,"(84, 103)","(80, 99)","(80, 99)",True
0018,"(88, 82)","(84, 79)","(84, 79)",True
0019,"(95, 83)","(92, 80)","(92, 80)",True
0020,"(73, 65)","(70, 63)","(70, 63)",True
0021,"(102, 100)","(98, 96)","(98, 96)",True
0022,"(69, 75)","(67, 72)","(67, 72)",True
0023,"(80, 96)","(76, 93)","(76, 93)",True
0024,"(87, 68)","(84, 65)","(84, 65)",True
0025,"(62, 59)","(59, 56)","(59, 56)",True
0026,"(66, 66)","(63, 63)","(63, 63)",True
0027,"(61, 60)","(59, 57)","(59, 57)",True
0028,"(65, 62)","(62, 59)","(62, 59)",True
0029,"(146, 107)","(143, 102)","(143, 102)",True
0030,"(66, 79)","(64, 76)","(64, 76)",True
0031,"(86, 82)","(83, 79)","(83, 79)",True
0032,"(58, 62)","(55, 60)","(55, 60)",True
0034,"(99, 73)","(95, 70)","(95, 70)",True
0035,"(76, 87)","(72, 84)","(72, 84)",True
0036,"(83, 79)","(80, 76)","(80, 76)",True
0038,"(73, 65)","(70, 62)","(70, 62)",True
0039,"(51, 57)","(49, 54)","(49, 54)",True
0040,"(90, 101)","(87, 98)","(87, 98)",True
0041,"(104, 112)","(100, 108)","(100, 108)",True
0042,"(85, 85)","(82, 82)","(82, 82)",True
0043,"(79, 93)","(75, 90)","(75, 90)",True
0044,"(109, 89)","(106, 85)","(106, 85)",True
0045,"(107, 81)","(104, 77)","(104, 77)",True
0046,"(78, 72)","(76, 69)","(76, 69)",True
0047,"(91, 97)","(87, 93)","(87, 93)",True
0048,"(75, 73)","(72, 70)","(72, 70)",True
0049,"(81, 78)","(77, 74)","(77, 74)",True
0050,"(65, 60)","(63, 57)","(63, 57)",True
0051,"(82, 70)","(79, 66)","(79, 66)",True
0052,"(98, 82)","(96, 79)","(96, 79)",True
0053,"(71, 66)","(68, 64)","(68, 64)",True
0054,"(66, 62)","(63, 59)","(63, 59)",True
0055,"(78, 70)","(76, 67)","(76, 67)",True
0056,"(73, 70)","(70, 67)","(70, 67)",True
0057,"(58, 60)","(55, 57)","(55, 57)",True
0058,"(121, 110)","(118, 106)","(118, 106)",True
0059,"(80, 106)","(77, 102)","(77, 102)",True
0060,"(67, 77)","(63, 74)","(63, 74)",True
0061,"(81, 143)","(76, 139)","(76, 139)",True
0062,"(83, 125)","(79, 122)","(79, 122)",True
0063,"(67, 81)","(63, 78)","(63, 78)",True
0064,"(72, 71)","(69, 69)","(69, 69)",True
0065,"(59, 69)","(56, 66)","(56, 66)",True
0066,"(58, 61)","(56, 58)","(56, 58)",True
0067,"(58, 63)","(55, 60)","(55, 60)",True
0068,"(71, 74)","(68, 72)","(68, 72)",True
0069,"(61, 61)","(58, 59)","(58, 59)",True
0070,"(58, 70)","(55, 68)","(55, 68)",True
0071,"(56, 73)","(53, 70)","(53, 70)",True
0072,"(61, 63)","(58, 60)","(58, 60)",True
0073,"(64, 78)","(61, 75)","(61, 75)",True
0074,"(66, 72)","(63, 70)","(63, 70)",True
0075,"(78, 95)","(74, 91)","(74, 91)",True
0076,"(72, 73)","(69, 70)","(69, 70)",True
0077,"(70, 68)","(66, 65)","(66, 65)",True
0078,"(69, 74)","(65, 72)","(65, 72)",True
0079,"(77, 61)","(75, 58)","(75, 58)",True
0080,"(112, 134)","(107, 130)","(107, 130)",True
0081,"(72, 95)","(69, 92)","(69, 92)",True
0082,"(85, 74)","(82, 71)","(82, 71)",True
0083,"(78, 82)","(74, 79)","(74, 79)",True
0084,"(53, 60)","(50, 57)","(50, 57)",True
0085,"(58, 75)","(55, 73)","(55, 73)",True
0086,"(81, 76)","(78, 73)","(78, 73)",True
0087,"(61, 65)","(58, 62)","(58, 62)",True
0088,"(76, 74)","(72, 71)","(72, 71)",True
0089,"(60, 67)","(57, 64)","(57, 64)",True
0090,"(78, 73)","(74, 70)","(74, 70)",True
0091,"(54, 64)","(51, 62)","(51, 62)",True
0093,"(65, 65)","(61, 62)","(61, 62)",True
0094,"(83, 98)","(79, 94)","(79, 94)",True
0096,"(93, 76)","(89, 72)","(89, 72)",True
0097,"(76, 73)","(73, 69)","(73, 69)",True
0098,"(96, 91)","(91, 87)","(91, 87)",True
0099,"(133, 150)","(128, 145)","(128, 145)",True
0100,"(83, 83)","(80, 79)","(80, 79)",True
0101,"(100, 87)","(96, 82)","(96, 82)",True
0102,"(70, 63)","(67, 59)","(67, 59)",True
0103,"(72, 74)","(69, 70)","(69, 70)",True
0104,"(82, 72)","(79, 69)","(79, 69)",True
0105,"(137, 112)","(133, 108)","(133, 108)",True
0106,"(153, 160)","(148, 155)","(148, 155)",True
0107,"(74, 71)","(71, 68)","(71, 68)",True
0108,"(60, 58)","(57, 56)","(57, 56)",True
0109,"(57, 66)","(54, 63)","(54, 63)",True
0110,"(65, 69)","(62, 65)","(62, 65)",True
0111,"(79, 85)","(75, 82)","(75, 82)",True
0112,"(63, 75)","(60, 72)","(60, 72)",True
0113,"(67, 68)","(65, 64)","(65, 64)",True
0114,"(77, 91)","(73, 87)","(73, 87)",True
0115,"(138, 140)","(133, 135)","(133, 135)",True
0116,"(98, 72)","(95, 68)","(95, 68)",True
0117,"(87, 79)","(83, 75)","(83, 75)",True
