epoch,accuracy,dice_coef,f1_m,iou_m,loss,lr,precision_m,recall_m,val_accuracy,val_dice_coef,val_f1_m,val_iou_m,val_loss,val_precision_m,val_recall_m
0,0.5013455152511597,0.18146687746047974,0.18146809935569763,0.10310380160808563,2.443739414215088,1e-04,0.11098354309797287,0.6085343956947327,0.7890645265579224,0.22724215686321259,0.22724364697933197,0.13411860167980194,2.180359363555908,0.15841223299503326,0.46388253569602966
1,0.8660247921943665,0.47441068291664124,0.47441115975379944,0.31575432419776917,1.8481547832489014,1e-04,0.3472491204738617,0.8062783479690552,0.8372286558151245,0.4237607717514038,0.4237612783908844,0.2735294997692108,2.247271776199341,0.2881130576133728,0.8555437922477722
2,0.9263800978660583,0.6234118342399597,0.6234120726585388,0.4564431309700012,1.5655704736709595,1e-04,0.5120609402656555,0.8259207010269165,0.9089677333831787,0.5712108612060547,0.5712110996246338,0.4035400152206421,1.8162972927093506,0.4303956925868988,0.8891294598579407
3,0.9418401122093201,0.6715455651283264,0.671545684337616,0.5085291862487793,1.4128917455673218,1e-04,0.5825495719909668,0.8202763795852661,0.9238079786300659,0.6172335147857666,0.6172338128089905,0.44963470101356506,1.594725251197815,0.4847707748413086,0.8930252194404602
4,0.9496435523033142,0.7091944813728333,0.7091947793960571,0.5526134967803955,1.297122597694397,1e-04,0.6332077383995056,0.8287373781204224,0.9390137791633606,0.6797853112220764,0.6797855496406555,0.5169277787208557,1.414286732673645,0.571227490901947,0.8596670031547546
5,0.9513421654701233,0.7204293012619019,0.7204294204711914,0.5652796626091003,1.2223994731903076,1e-04,0.6493875980377197,0.8287546634674072,0.9486539959907532,0.7120184898376465,0.7120186686515808,0.5559003949165344,1.265851378440857,0.6542620062828064,0.7979556918144226
6,0.9532601833343506,0.7263811230659485,0.7263811826705933,0.5722700357437134,1.1633517742156982,1e-04,0.66126549243927,0.8266871571540833,0.9468880295753479,0.6992037892341614,0.6992039084434509,0.5418120622634888,1.2055318355560303,0.6385995149612427,0.7974359393119812
7,0.9544709324836731,0.7353889346122742,0.735388994216919,0.5839639902114868,1.1093051433563232,1e-04,0.6725937724113464,0.8294340968132019,0.9471328258514404,0.7217249870300293,0.7217252850532532,0.5673549771308899,1.1483033895492554,0.6277955174446106,0.8647457957267761
8,0.9557693600654602,0.7396358251571655,0.7396361231803894,0.5899735689163208,1.0613168478012085,1e-04,0.6736959218978882,0.8333059549331665,0.9504186511039734,0.7276737689971924,0.7276738286018372,0.5755413174629211,1.090509295463562,0.6695048809051514,0.8102567195892334
9,0.9572111964225769,0.7493758797645569,0.749376118183136,0.6019249558448792,1.0091030597686768,1e-04,0.6897645592689514,0.8317610621452332,0.9538211822509766,0.7389109134674072,0.7389111518859863,0.588468611240387,1.0386388301849365,0.7109366059303284,0.7776950001716614
10,0.9571488499641418,0.7500348091125488,0.7500350475311279,0.602809488773346,0.9795470833778381,1e-04,0.690100371837616,0.8369137644767761,0.9526246190071106,0.7425594925880432,0.7425596117973328,0.5934279561042786,1.0066300630569458,0.6776807308197021,0.8332863450050354
11,0.9576961398124695,0.7518243789672852,0.7518244385719299,0.6054388880729675,0.9487911462783813,1e-04,0.6910202503204346,0.8392996191978455,0.9512999653816223,0.742097795009613,0.7420979142189026,0.5919380784034729,0.9638970494270325,0.6485174298286438,0.8798847794532776
12,0.95908123254776,0.7600416541099548,0.7600418925285339,0.6163225173950195,0.9119964241981506,1e-04,0.7041491270065308,0.8411286473274231,0.9569876790046692,0.7551493048667908,0.7551493644714355,0.6083753108978271,0.9088522791862488,0.7149326205253601,0.8061232566833496
13,0.957436203956604,0.7552576065063477,0.7552576661109924,0.6101832389831543,0.898324728012085,1e-04,0.6982386708259583,0.8362531065940857,0.9518640637397766,0.7389572262763977,0.738957405090332,0.5882179737091064,0.9131171107292175,0.644819974899292,0.8801618218421936
